,國文檢定_code,英文檢定_code,數學檢定_code,社會檢定_code,自然檢定_code,國文倍率,英文倍率,數學倍率,社會倍率,自然倍率,tsnepos1,tsnepos2,學校名稱_code,學校名稱_encoded,學系名稱_trim,學系代碼,國文採計,英文採計,數學採計,社會採計,自然採計,自設科目組合_code,自設科目組合倍率,unitier,預定甄試人數,甄試費用,口試佔比,書審佔比,cluster
284,0,50,75,0,50,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,5.956817,-21.486414,10,國立清華大學,旭日招生丙組(原科、生科、理學),011502,0.0,0.0,0.0,0.0,0.0,6,3.5,1,32,1100,0.5,0.5,7
301,50,75,75,0,0,29.999999999999996,29.999999999999996,3.0,29.999999999999996,5.000000000000001,17.23812,5.6576133,10,國立清華大學,物理學系物理組(甲組一般組),011182,0.0,0.0,0.0,0.0,0.0,24,0.0,1,69,1000,0.0,0.35,4
325,0,50,88,0,50,29.999999999999996,5.000000000000001,3.0,29.999999999999996,5.000000000000001,19.30353,-21.601793,10,國立清華大學,數學系乙組(應用數學組),011172,0.0,0.0,0.0,0.0,0.0,24,0.0,3,60,1100,0.0,0.2,1
334,50,75,75,0,75,3.5000000000000004,3.5000000000000004,3.5000000000000004,29.999999999999996,3.5000000000000004,49.23978,4.290438,10,國立清華大學,原子科學院學士班,011262,0.0,0.0,0.0,0.0,0.0,24,0.0,3,49,1100,0.1,0.4,1
65,88,88,75,75,0,3.0,7.999999999999999,29.999999999999996,7.999999999999999,29.999999999999996,-16.633772,14.185331,10,國立清華大學,中國文學系乙組(華語文教學組),011022,0.0,0.0,0.0,0.0,0.0,24,0.0,2,18,1100,0.4,0.2,2
77,88,88,75,75,0,3.0,7.999999999999999,29.999999999999996,7.999999999999999,29.999999999999996,-16.633772,14.185331,10,國立清華大學,中國文學系甲組(一般組),011012,0.0,0.0,0.0,0.0,0.0,24,0.0,2,33,1100,0.0,0.3,2
111,50,75,50,0,0,29.999999999999996,3.5000000000000004,29.999999999999996,29.999999999999996,29.999999999999996,8.613078,4.4552417,10,國立清華大學,教育心理與諮商學系,011072,6.0,6.0,6.0,0.0,0.0,5,6.0,2,46,1100,0.4,0.2,4
294,75,75,75,0,0,5.000000000000001,5.000000000000001,3.0,29.999999999999996,29.999999999999996,10.960669,13.17857,10,國立清華大學,計量財務金融學系,011152,0.0,0.0,0.0,0.0,0.0,24,0.0,1,75,1100,0.1,0.4,4
22,50,75,88,0,75,5.000000000000001,3.0,3.0,29.999999999999996,5.000000000000001,49.391342,4.4679017,10,國立清華大學,工業工程與工程管理學系,011312,0.0,0.0,0.0,0.0,0.0,24,0.0,1,123,1100,0.0,0.45,1
139,75,75,75,0,0,3.0,3.0,3.0,29.999999999999996,29.999999999999996,11.14152,14.006864,10,國立清華大學,科技管理學院學士班,011142,0.0,0.0,0.0,0.0,0.0,24,0.0,1,69,1100,0.4,0.3,4
